Plant Species,Compound,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Lettuce,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.03,8e-05,0.003
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.39,0.07,0.044
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.01,0.0019,0.19
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.004,0.0006,0.15
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.002,0.0006,0.3
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.002,0.0006,0.3
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.94,0.165,0.18
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.02,0.0013,0.065
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.01,0.0006,0.06
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.01,0.0005,0.05
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.003,0.0006,0.2
Cabbage,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.0025,0.0025,1.0
Cabbage,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.065,0.0026,0.04
Cabbage,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.005,0.0019,0.38
Cabbage,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.006,0.003,0.5
Cabbage,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.01,0.003,0.3
Cabbage,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.006,0.002,0.333
Cabbage,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.004,0.001,0.25
Cabbage,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.006,0.002,0.333
Cabbage,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.018,0.0016,0.089
Cabbage,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.011,0.002,0.182
Cabbage,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.006,0.001,0.167
Cabbage,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.009,0.001,0.111
Cabbage,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.023,0.002,0.087
Cabbage,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.105,0.0009,0.009
Cabbage,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.009,0.0004,0.044
Cabbage,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.012,0.0006,0.05
Cabbage,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.08,0.003,0.0375
Cabbage,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.037,0.002,0.054
Cabbage,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.02,0.002,0.1
Cabbage,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.024,0.002,0.083
Cabbage,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.189,0.003,0.016
Cabbage,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.094,0.002,0.021
Cabbage,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.047,0.003,0.064
Cabbage,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.049,0.003,0.061
Cabbage,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.336,0.004,0.012
Cabbage,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.204,0.004,0.02
Cabbage,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.118,0.006,0.051
Cabbage,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.108,0.006,0.056
Cabbage,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.308,0.004,0.013
Cabbage,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.222,0.005,0.023
Cabbage,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.165,0.008,0.048
Cabbage,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.173,0.01,0.058
Cabbage,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.201,0.004,0.02
Cabbage,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.17,0.003,0.018
Cabbage,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.103,0.002,0.019
Cabbage,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.078,0.003,0.038
Cabbage,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.241,0.006,0.025
Cabbage,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.184,0.0005,0.003
Cabbage,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.168,0.0006,0.004
Cabbage,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.115,0.0006,0.005
Cabbage,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.226,0.006,0.027
Cabbage,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.263,0.0006,0.002
Cabbage,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.169,0.0001,0.001
Cabbage,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.119,6e-05,0.001
Cabbage,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.015,0.0001,0.007
Cabbage,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.02,0.0005,0.025
Cabbage,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.012,0.0003,0.025
Cabbage,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.018,0.0005,0.028
Cabbage,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.046,0.00015,0.003
Cabbage,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.038,0.0012,0.032
Cabbage,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.021,0.0009,0.043
Cabbage,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.027,0.001,0.037
Zucchini,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.0013,0.0013,1.0
Zucchini,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.002,0.00012,0.06
Zucchini,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.002,0.0006,0.3
Zucchini,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.002,0.0009,0.45
Zucchini,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.006,0.00125,0.208
Zucchini,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.004,0.00012,0.03
Zucchini,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.005,0.0016,0.32
Zucchini,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.003,0.002,0.67
Zucchini,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.007,0.007,1.0
Zucchini,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.006,0.006,1.0
Zucchini,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.008,0.0045,0.563
Zucchini,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.004,0.005,1.25
Zucchini,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.011,0.007,0.636
Zucchini,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.011,0.008,0.727
Zucchini,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.011,0.008,0.727
Zucchini,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.009,0.008,0.889
Zucchini,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.03,0.01,0.333
Zucchini,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.03,0.01,0.333
Zucchini,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.028,0.001,0.036
Zucchini,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.02,0.01,0.5
Zucchini,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.08,0.02,0.25
Zucchini,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.06,0.01,0.167
Zucchini,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.06,0.01,0.167
Zucchini,PFNA,Carboxylate,414.07,0.23,3.54,960.0,0.05,0.01,0.2
Zucchini,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.24,0.01,0.0417
Zucchini,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.13,0.008,0.062
Zucchini,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.11,0.009,0.082
Zucchini,PFDA,Carboxylate,464.08,0.4,4.15,960.0,0.09,0.01,0.111
Zucchini,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.35,0.008,0.023
Zucchini,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.24,0.006,0.025
Zucchini,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.3,0.007,0.0233
Zucchini,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.23,0.008,0.0348
Zucchini,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.32,0.004,0.0125
Zucchini,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.26,0.003,0.0115
Zucchini,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.15,0.002,0.0133
Zucchini,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.1,0.002,0.02
Zucchini,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.17,0.004,0.0235
Zucchini,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.16,0.0004,0.0025
Zucchini,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.14,0.0003,0.0021
Zucchini,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.11,0.0004,0.0036
Zucchini,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.61,0.006,0.0098
Zucchini,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.75,0.0006,0.0008
Zucchini,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.43,0.0002,0.0005
Zucchini,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.2,0.0001,0.0005
Zucchini,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.01,4e-05,0.004
Zucchini,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.01,0.001,0.1
Zucchini,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.013,0.001,0.077
Zucchini,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.009,0.001,0.111
Zucchini,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.02,0.01,0.5
Zucchini,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.03,0.005,0.167
Zucchini,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.029,0.004,0.138
Zucchini,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.015,0.003,0.2
Tomato,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.0017,0.003,1.765
Tomato,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.001,0.002,2.0
Tomato,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.001,0.002,2.0
Tomato,PFBA,Carboxylate,214.1,-0.21,1.43,960.0,0.0005,0.001,2.0
Tomato,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.002,0.002,1.0
Tomato,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.001,0.002,2.0
Tomato,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.001,0.001,1.0
Tomato,PFPeA,Carboxylate,264.1,-0.8,1.35,960.0,0.001,0.001,1.0
Tomato,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.004,0.003,0.75
Tomato,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.0038,0.003,0.79
Tomato,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.002,0.004,2.0
Tomato,PFHxA,Carboxylate,314.1,0.2,2.85,960.0,0.001,0.004,4.0
Tomato,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.004,0.0045,1.13
Tomato,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.0039,0.006,1.54
Tomato,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.003,0.004,1.33
Tomato,PFHpA,Carboxylate,364.1,0.81,2.05,960.0,0.002,0.004,2.0
Tomato,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.007,0.009,1.29
Tomato,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.016,0.008,0.5
Tomato,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.01,0.007,0.7
Tomato,PFOA,Carboxylate,414.1,3.15,3.1,960.0,0.006,0.008,1.33
Tomato,PFNA,Carboxylate,414.07,0.54,3.54,960.0,0.045,0.009,0.2
Tomato,PFNA,Carboxylate,414.07,0.54,3.54,960.0,0.06,0.008,0.13
Tomato,PFNA,Carboxylate,414.07,0.54,3.54,960.0,0.05,0.009,0.18
Tomato,PFNA,Carboxylate,414.07,0.54,3.54,960.0,0.03,0.01,0.33
Tomato,PFDA,Carboxylate,464.08,0.54,4.15,960.0,0.15,0.017,0.11
Tomato,PFDA,Carboxylate,464.08,0.54,4.15,960.0,0.12,0.01,0.08
Tomato,PFDA,Carboxylate,464.08,0.54,4.15,960.0,0.11,0.01,0.09
Tomato,PFDA,Carboxylate,464.08,0.54,4.15,960.0,0.08,0.02,0.25
Tomato,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.18,0.01,0.06
Tomato,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.3,0.01,0.03
Tomato,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.22,0.01,0.05
Tomato,PFUnDA,Carboxylate,564.09,0.54,4.0,960.0,0.27,0.02,0.07
Tomato,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.22,0.01,0.05
Tomato,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.218,0.004,0.02
Tomato,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.112,0.006,0.05
Tomato,PFDoDA,Carboxylate,614.1,0.54,8.76,960.0,0.014,0.003,0.21
Tomato,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.15,0.007,0.05
Tomato,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.19,0.002,0.01
Tomato,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.12,0.0019,0.02
Tomato,PFTrDA,Carboxylate,664.1,0.54,8.76,960.0,0.019,0.001,0.05
Tomato,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.21,0.008,0.04
Tomato,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.22,0.0008,0.0
Tomato,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.13,0.0004,0.0
Tomato,PFTeDA,Carboxylate,714.11,0.54,5.1,960.0,0.02,0.0003,0.02
Tomato,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,5e-05,0.0,0.0
Tomato,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.007,0.003,0.43
Tomato,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.005,0.001,0.2
Tomato,PFBS,Sulfonate,300.1,-1.61,2.79,960.0,0.004,0.002,0.5
Tomato,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.01,0.004,0.4
Tomato,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.02,0.005,0.25
Tomato,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.01,0.005,0.5
Tomato,PFHxS,Sulfonate,400.1,-1.64,2.2,960.0,0.007,0.003,0.43
Lettuce,PFBA,Carboxylate,214.1,-0.21,1.43,2232.0,0.00979,0.010848,1.1081
Lettuce,PFPeA,Carboxylate,264.1,-0.8,1.35,2232.0,0.00806,0.005052,0.6268
Lettuce,PFHxA,Carboxylate,314.1,0.2,2.85,2232.0,0.00265,0.002761,1.0419
Lettuce,PFHpA,Carboxylate,364.1,0.81,2.05,2232.0,0.0031,0.002247,0.7248
Lettuce,PFOA,Carboxylate,414.1,3.15,3.1,2232.0,0.00425,0.001131,0.2661
Lettuce,PFNA,Carboxylate,414.07,0.23,3.54,2232.0,0.01702,0.001781,0.1046
Lettuce,PFDA,Carboxylate,464.08,0.4,4.15,2232.0,0.06664,0.001707,0.0256
Lettuce,PFUnDA,Carboxylate,564.09,0.54,4.0,2232.0,0.24528,0.001885,0.0077
Lettuce,PFDoDA,Carboxylate,614.1,0.54,8.76,2232.0,0.233096,0.0014939,0.0064
Lettuce,HPFO-DA,Carboxylate,330.5,-0.73,5.41,2232.0,0.00113,0.001978,1.7504
Lettuce,HPFO-TA,Carboxylate,496.076,-1.29,8.69,2232.0,0.00636,0.011915169897959186,1.2684520512820512
Lettuce,PFBS,Sulfonate,300.1,-1.61,2.79,2232.0,0.00235,0.003212,1.3668
Lettuce,PFHxS,Sulfonate,400.1,-1.64,2.2,2232.0,0.009,0.002313,0.257
Lettuce,PFOS,Sulfonate,500.1,-1.64,5.61,2232.0,0.110875,0.003656,0.033
Lettuce,8:2 Cl-PFESA,Sulfonate,670.67,1.96,6.64,2232.0,0.3215,0.003213,0.01
Lettuce,6:2 FTSA,Sulfonate,428.16,1.23,3.73,2232.0,0.0113,0.0015277,0.1352
Lettuce,8:2 FTSA,Sulfonate,528.18,1.33,5.22,2232.0,0.08046,0.0035256,0.0438
Chrysanthemum coronarium (Crown Daisy),PFBA,Carboxylate,214.1,-0.21,1.43,2232.0,0.00276,0.047222,17.1094
Chrysanthemum coronarium (Crown Daisy),PFPeA,Carboxylate,264.1,-0.8,1.35,2232.0,0.00237,0.034996,14.7662
Chrysanthemum coronarium (Crown Daisy),PFHxA,Carboxylate,314.1,0.2,2.85,2232.0,0.000858,0.012347,14.3904
Chrysanthemum coronarium (Crown Daisy),PFHpA,Carboxylate,364.1,0.81,2.05,2232.0,0.00087,0.007613,8.7506
Chrysanthemum coronarium (Crown Daisy),PFOA,Carboxylate,414.1,3.15,3.1,2232.0,0.00176,0.006776,3.85
Chrysanthemum coronarium (Crown Daisy),PFNA,Carboxylate,414.07,0.23,3.54,2232.0,0.01009,0.010695,1.06
Chrysanthemum coronarium (Crown Daisy),PFDA,Carboxylate,464.08,0.4,4.15,2232.0,0.03951,0.0128696,0.3257
Chrysanthemum coronarium (Crown Daisy),PFUnDA,Carboxylate,564.09,0.54,4.0,2232.0,0.1144,0.00754,0.0659
Chrysanthemum coronarium (Crown Daisy),PFDoDA,Carboxylate,614.1,0.54,8.76,2232.0,0.11966,0.000992,0.0083
Chrysanthemum coronarium (Crown Daisy),HPFO-DA,Carboxylate,330.5,-0.73,5.41,2232.0,0.000607,0.004217,6.9473
Chrysanthemum coronarium (Crown Daisy),HPFO-TA,Carboxylate,496.076,-1.29,8.69,2232.0,0.00626,0.0004623,0.0738
Chrysanthemum coronarium (Crown Daisy),PFBS,Sulfonate,300.1,-1.61,2.79,2232.0,0.13532001015228426,0.00792,0.1072
Chrysanthemum coronarium (Crown Daisy),PFHxS,Sulfonate,400.1,-1.64,2.2,2232.0,0.004343,0.011402,2.6254
Chrysanthemum coronarium (Crown Daisy),PFOS,Sulfonate,500.1,-1.64,5.61,2232.0,0.04717,0.0327188,0.6936
Chrysanthemum coronarium (Crown Daisy),8:2 Cl-PFESA,Sulfonate,670.67,1.96,6.64,2232.0,0.22936,0.011915169897959186,1.2684520512820512
Chrysanthemum coronarium (Crown Daisy),6:2 FTSA,Sulfonate,428.16,1.23,3.73,2232.0,0.004583,0.011,2.4002
Chrysanthemum coronarium (Crown Daisy),8:2 FTSA,Sulfonate,528.18,1.33,5.22,2232.0,0.033744,0.029256,0.867
Chinese Cabbage,PFBA,Carboxylate,214.1,-0.21,1.43,2232.0,0.00219,0.021894,9.9973
Chinese Cabbage,PFPeA,Carboxylate,264.1,-0.8,1.35,2232.0,0.000948,0.020274,21.3861
Chinese Cabbage,PFHxA,Carboxylate,314.1,0.2,2.85,2232.0,0.000227,0.00688,30.3084
Chinese Cabbage,PFHpA,Carboxylate,364.1,0.81,2.05,2232.0,0.000383,0.004355,11.3708
Chinese Cabbage,PFOA,Carboxylate,414.1,3.15,3.1,2232.0,0.000593,0.0030187,5.0906
Chinese Cabbage,PFNA,Carboxylate,414.07,0.23,3.54,2232.0,0.00577,0.0045238,0.784
Chinese Cabbage,PFDA,Carboxylate,464.08,0.4,4.15,2232.0,0.02803,0.005141,0.1834
Chinese Cabbage,PFUnDA,Carboxylate,564.09,0.54,4.0,2232.0,0.12022,0.001782,0.0148
Chinese Cabbage,PFDoDA,Carboxylate,614.1,0.54,8.76,2232.0,0.13341,0.011915169897959186,1.2684520512820512
Chinese Cabbage,HPFO-DA,Carboxylate,330.5,-0.73,5.41,2232.0,5.1e-05,0.003348,65.6471
Chinese Cabbage,HPFO-TA,Carboxylate,496.076,-1.29,8.69,2232.0,0.003558,9.79e-05,0.0275
Chinese Cabbage,PFBS,Sulfonate,300.1,-1.61,2.79,2232.0,0.13532001015228426,0.003364,1.2684520512820512
Chinese Cabbage,PFHxS,Sulfonate,400.1,-1.64,2.2,2232.0,0.00196,0.0009567,0.4881
Chinese Cabbage,PFOS,Sulfonate,500.1,-1.64,5.61,2232.0,0.03467,0.0039375,0.1136
Chinese Cabbage,8:2 Cl-PFESA,Sulfonate,670.67,1.96,6.64,2232.0,0.122553,0.011915169897959186,1.2684520512820512
Chinese Cabbage,6:2 FTSA,Sulfonate,428.16,1.23,3.73,2232.0,0.0015278,0.000793,0.519
Chinese Cabbage,8:2 FTSA,Sulfonate,528.18,1.33,5.22,2232.0,0.019679,0.0060897,0.3095
Cucumber,PFBA,Carboxylate,214.1,-0.21,1.43,2232.0,0.01192,0.075652,6.3466
Cucumber,PFPeA,Carboxylate,264.1,-0.8,1.35,2232.0,0.00482,0.0309608,6.4234
Cucumber,PFHxA,Carboxylate,314.1,0.2,2.85,2232.0,0.0021,0.0202386,9.6374
Cucumber,PFHpA,Carboxylate,364.1,0.81,2.05,2232.0,0.0013,0.030688,23.6062
Cucumber,PFOA,Carboxylate,414.1,3.15,3.1,2232.0,0.00183,0.022673,12.3896
Cucumber,PFNA,Carboxylate,414.07,0.23,3.54,2232.0,0.01012,0.017543,1.7335
Cucumber,PFDA,Carboxylate,464.08,0.4,4.15,2232.0,0.03357,0.017522,0.522
