Plant Species,Functional Group,Molecular Weight (g/mol),pKa,log Kow, Exposure time  (hrs),RCF (L/g),SCF (L/g)  ,TF
Lettuce,Sulfonate,500.1,-1.64,5.61,96,0.01971,0.00063,0.032
Lettuce,Sulfonate,500.1,-1.64,5.61,144,0.0231,0.00091,0.0394
Lettuce,Carboxylate,214.1,-0.21,1.43,1080,0.25,0.17,0.68
Lettuce,Carboxylate,264.1,-0.8,1.35,1080,0.13,0.063,0.4846
Lettuce,Carboxylate,314.1,0.2,2.85,1080,0.015,0.0097,0.6467
Lettuce,Carboxylate,364.1,0.81,2.05,1080,0.04,0.0056,0.14
Lettuce,Carboxylate,414.1,3.15,3.1,1080,0.17,0.0094,0.0553
Lettuce,Carboxylate,414.07,0.23,3.54,1080,0.91,0.014,0.0154
Lettuce,Carboxylate,464.08,0.4,4.15,1080,1.1,0.0045,0.0041
Lettuce,Carboxylate,564.09,0.54,4,1080,1.5,0.0041,0.0027
Lettuce,Carboxylate,614.1,0.54,8.76,1080,0.79,0,0
Lettuce,Carboxylate,664.1,0.54,8.76,1080,0.5,0,0
Lettuce,Carboxylate,714.11,0.54,5.1,1080,0.23,0,0
Lettuce,Sulfonate,300.1,-1.61,2.79,1080,0.0055,0.0018,0.3273
Lettuce,Sulfonate,400.1,-1.64,2.2,1080,0.14,0.0028,0.02
Lettuce,Sulfonate,500.1,-1.64,5.61,1080,1.79,0.0042,0.0023
Spinach,Carboxylate,214.1,-0.21,1.43,1320,0.012,0.053,4.4167
Spinach,Carboxylate,264.1,-0.8,1.35,1320,0.0077,0.058,7.5325
Spinach,Carboxylate,314.1,0.2,2.85,1320,0.0046,0.021,4.5652
Spinach,Carboxylate,364.1,0.81,2.05,1320,0.011,0.018,1.6364
Spinach,Carboxylate,414.1,3.15,3.1,1320,0.034,0.012,0.3529
Spinach,Carboxylate,414.07,0.23,3.54,1320,0.13,0.0096,0.0738
Spinach,Carboxylate,464.08,0.4,4.15,1320,0.26,0.0021,0.0081
Spinach,Carboxylate,564.09,0.54,4,1320,1,0,0
Spinach,Carboxylate,614.1,0.54,8.76,1320,1.5,0,0
Spinach,Carboxylate,664.1,0.54,8.76,1320,0.79,0,0
Spinach,Carboxylate,714.11,0.54,5.1,1320,0.28,0,0
Spinach,Sulfonate,300.1,-1.61,2.79,1320,0.0017,0.0064,3.7647
Spinach,Sulfonate,400.1,-1.64,2.2,1320,0.036,0.0041,0.1139
Spinach,Sulfonate,500.1,-1.64,5.61,1320,0.3,0.0023,0.0077
Lettuce,Carboxylate,414.1,3.15,3.1,672,0.1274,0.1231,0.9662
Lettuce,Carboxylate,414.1,3.15,3.1,672,0.1088,0.1075,0.9881
Lettuce,Carboxylate,414.1,3.15,3.1,672,0.1274,0.1254,0.9843
Lettuce,Carboxylate,414.1,3.15,3.1,672,0.0945,0.0947,1.002
Lettuce,Sulfonate,500.1,-1.64,5.61,672,0.2761,0.2776,1.0054
Lettuce,Sulfonate,500.1,-1.64,5.61,672,0.223,0.2239,1.004
Lettuce,Sulfonate,500.1,-1.64,5.61,672,0.1792,0.1791,0.9994
Lettuce,Sulfonate,500.1,-1.64,5.61,672,0.1237,0.1238,1.0008
Red Chicory,Carboxylate,214.1,-0.21,1.43,912,0.0019,0.0069,3.6905
Red Chicory,Carboxylate,214.1,-0.21,1.43,912,0.0015,0.0056,3.788
Red Chicory,Carboxylate,214.1,-0.21,1.43,912,0.0017,0.007,4.1952
Red Chicory,Carboxylate,264.1,-0.8,1.35,912,0.0015,0.0072,4.8751
Red Chicory,Carboxylate,264.1,-0.8,1.35,912,0.0014,0.0052,3.611
Red Chicory,Carboxylate,264.1,-0.8,1.35,912,0.0013,0.0062,4.7701
Red Chicory,Sulfonate,300.1,-1.61,2.79,912,0.0024,0.0046,1.9346
Red Chicory,Sulfonate,300.1,-1.61,2.79,912,0.0028,0.0034,1.2131
Red Chicory,Sulfonate,300.1,-1.61,2.79,912,0.0025,0.0047,1.8609
Red Chicory,Carboxylate,314.1,0.2,2.85,912,0.0024,0.0071,3.0051
Red Chicory,Carboxylate,314.1,0.2,2.85,912,0.0022,0.004,1.8642
Red Chicory,Carboxylate,314.1,0.2,2.85,912,0.0017,0.0046,2.6389
Red Chicory,Carboxylate,364.1,0.81,2.05,912,0.004,0.0041,1.0121
Red Chicory,Carboxylate,364.1,0.81,2.05,912,0.0043,0.0063,1.459
Red Chicory,Carboxylate,364.1,0.81,2.05,912,0.0029,0.0031,1.0545
Red Chicory,Carboxylate,414.1,3.15,3.1,912,0.0076,0.0037,0.485
Red Chicory,Carboxylate,414.1,3.15,3.1,912,0.0115,0.0029,0.2511
Red Chicory,Carboxylate,414.1,3.15,3.1,912,0.008,0.0026,0.319
Red Chicory,Carboxylate,414.07,0.23,3.54,912,0.0214,0.0036,0.1687
Red Chicory,Carboxylate,414.07,0.23,3.54,912,0.0306,0.003,0.0974
Red Chicory,Carboxylate,414.07,0.23,3.54,912,0.0275,0.0025,0.0913
Red Chicory,Carboxylate,464.08,0.4,4.15,912,0.0795,0.0032,0.0405
Red Chicory,Carboxylate,464.08,0.4,4.15,912,0.1116,0.0029,0.0262
Red Chicory,Carboxylate,464.08,0.4,4.15,912,0.0921,0.0026,0.0286
Red Chicory,Sulfonate,500.1,-1.64,5.61,912,0.0489,0.0025,0.0519
Red Chicory,Sulfonate,500.1,-1.64,5.61,912,0.0627,0.0023,0.0373
Red Chicory,Sulfonate,500.1,-1.64,5.61,912,0.0554,0.0022,0.0396
